family;name;class;cap-diameter;cap-shape;cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-root;stem-surface;stem-color;veil-type;veil-color;has-ring;ring-type;spore-print-color;habitat;season
;Horn of Plenty;e;[2.0, 8.0];;;;[f];;;[n, k];[4.0, 10.0];[0, 0];;;;;;[f];[f];;;[u, w]
;Oyster Mushroom;e;[5.0, 18.0];[f];;[l];[f];[a, d];[c];[w];[2.0, 3.0];[10.0, 20.0];;;;;;[f];[f];;[l];[a, w]
;Branched Oyster Mushroom;e;[5.0, 12.0];[x, s];;[n];[f];[a];;[w];[2.0, 7.0];[15.0, 30.0];;;;;;[f];[f];;;[u, a]
;Olive-brown Panellus;p;[3.0, 12.0];;;;[f];;[c];[y, o];[1.0, 2.0];[10.0, 20.0];;;[n];;;[f];[f];;[l, d];[a, w]
;Soft Slipper Toadstool;p;[2.0, 7.0];;[g, s, t];[n];[f];;[c];[w];[0, 0];[0, 0];;;;;;[t];[f];[n];[l];[u, a]
;Orange Clubs;p;[2.0, 6.0];;;;[f];;;;[2.0, 4.0];[0, 0];;;;;;[f];[f];;[g, l, d];[u, a]
;Crested Coral Fungus;e;[2.0, 8.0];;;;[f];;;;[2.0, 6.0];[0, 0];;;;;;[f];[f];;[l];[u, a]
;Grey Coral Fungus;e;[3.0, 10.0];;;;[f];;;;[2.0, 8.0];[0, 0];;;;;;[f];[f];;[l, d];[u, a]
;Cauliflower Fungus;e;[10.0, 20.0];;;;[f];;;;[15.0, 40.0];[0, 0];[r];;;;;[f];[f];;;[u, a]
;Hedgehog Fungus;e;[6.0, 14.0];;;[b];[f];;;;[4.0, 6.0];[15.0, 25.0];;;;;;[t];[f];;[l];[a]
;Ear-pick Fungus;p;[1.0, 2.0];[x];;[n];[f];;;[n];[2.0, 6.0];[1.0, 2.0];;;;;;[f];[f];;;[a]
;Earth Fan;p;[3.0, 20.0];[f];;;[f];;;[n];[0, 0];[0, 0];;;;;;[t];[f];;[l, h];[u, a]
;Hairy Stereum;p;[2.0, 6.0];;;;[f];;;;[2.0, 3.0];[0, 0];;;;;;[t];[f];;[l, d];
;Bleeding Stereum;p;[2.0, 20.0];;;;[t];;;;[1.0, 2.0];[0, 0];;;;;;[f];[f];;[l, d];
;Silver Leaf Fungus;p;[15.0, 2.0];[f];[l];;[f];;;;[4.0, 0];[0, 0];;;;;;[f];[f];;[l, d];
;Violet Fir Bracket;p;[30.0, 30.0];;;;[f];;;;[2.0, 4.0];[0, 0];;;;;;[f];[f];;[d];
;Many-zoned Polypore;p;[2.0, 7.0];;;;[f];;;;[2.0, 5.0];[1.0, 5.0];;;;;;[f];[f];;[l, d];
;Grey Polypore;p;[2.0, 6.0];;;;[t];;;;[4.0, 7.0];[0, 0];;;;;;[f];[f];;[l, d];
;Jelly Rot;p;[2.0, 4.0];;;;[f];;;;[0, 0];[0, 0];;;;;;[f];[f];;[l, d];[u, a]
;Root Fomes;p;[15.0, 8.0];;;;[f];;;;[4.0, 0];[0, 0];;;;;;[f];[f];;;
;Hump-backed Polypore;p;[10.0, 20.0];;;;[f];;;;[6.0, 15.0];[1.0, 5.0];;;;;;[f];[f];;[l];
;Blushing Bracket;p;[4.0, 14.0];;;;[t];;;;[4.0, 8.0];[1.0, 3.0];;;;;;[f];[f];;[l];
;Maze Gill;p;[8.0, 16.0];;;;[f];[p];;;[4.0, 8.0];[2.0, 5.0];;;;;;[t];[f];;[d];
;Birch Polypore;p;[8.0, 30.0];;;;[f];;;;[5.0, 20.0];[2.0, 6.0];;;;;;[f];[f];;;
;Hoof Fungus;p;[7.0, 40.0];;;;[f];;;;[5.0, 20.0];[7.0, 20.0];;;;;;[f];[f];;;
;Dryad’s Saddle;e;[50.0, 5.0];;[d];;[f];;;;[3.0, 10.0];[1.0, 6.0];;;[n, k];;;[f];[f];;[l];[s, u]
;Shaggy Polypore;p;[10.0, 25.0];;;;[f];;;;[8.0, 20.0];[4.0, 10.0];;;;;;[t];[f];;[l];[u]
;Common Ganoderma;p;[10.0, 30.0];;;;[t];;;;[10.0, 25.0];[4.0, 8.0];;;;;;[f];[f];;[l];
;Beefsteak Fungus;e;[8.0, 20.0];;;;[t];;;;[3.0, 6.0];[0, 0];;;;;;[f];[f];;;[u, a]
;Sulphur Polypore;e;[5.0, 20.0];;;;[f];;;;[2.0, 6.0];[0, 0];;;;;;[f];[f];;;[u, a]
;Giant Polypore;e;[10.0, 35.0];;;;[f];;;;[1.0, 3.0];[0, 0];;;;;;[f];[f];;[l];[u, a]
;Hen of the Woods;e;[40.0, 0];;;;[f];;;;[0, 0];[0, 0];;;[n, w];;;[f];[f];;[l];[a]
;Fuzzy Polypore;p;[8.0, 30.0];;;;[f];;;;[3.0, 8.0];[2.0, 6.0];;;[n];;;[f];[f];;;[a, w]
;Brown Goblet;p;[3.0, 7.0];[f];;[n, y];[f];;;;[2.0, 5.0];[3.0, 8.0];;;[n];;;[t];[f];;;[u]
;Jew’s Ear;e;[2.0, 7.0];;;;[f];;;;[2.0, 5.0];[0, 0];;;;;;[f];[f];;[d];
;Yellow Brain Fungus;p;[2.0, 8.0];;;;[f];;;;[0, 0];[0, 0];;;;;;[f];[f];;[l];[w]
;Witch’s Butter;p;[1.0, 5.0];;;;[f];;;;[0, 0];[0, 0];;;;;;[f];[f];;[l, d];
;Orange Jelly;p;[2.0, 5.0];;;;[f];;;;[0, 0];[0, 0];;;;;;[t];[f];;[l, d];
;Yellow Fingers;p;[2.0, 10.0];;;;[f];;;;[1.0, 2.0];[0, 0];;;;;;[f];[f];;[l, d];
;Yellow Clubs;p;[5.0, 15.0];;;;[f];;;;[2.0, 4.0];[0, 0];;;;;;[t];[f];;[d];
;Jelly Antler Fungus;p;[3.0, 8.0];;;;[f];;;;[2.0, 3.0];[0, 0];;;;;;[t];[f];;;[a]
;Giant Puffball;e;[20.0, 75.0];;;;[f];;;;[0, 0];[0, 0];;;;;;[f];[f];[n, w, y];[m, d];[u, a]
;Mosaic Puffball;e;[5.0, 15.0];;;;[f];;;;[0, 0];[0, 0];;;;;;[f];[f];[n];[m];[u, a]
;Pestle Puffball;e;[8.0, 15.0];;;;[f];;;;[5.0, 10.0];[3.0, 5.0];;;;;;[f];[f];[n];[l, h, d];[u, a]
;Common Puffball;e;[2.0, 5.0];;;;[f];;;;[3.0, 8.0];[0, 0];;;;;;[f];[f];;[l, d];[u, a]
;Stinking Puffball;p;[2.0, 5.0];;;;[f];;;;[2.0, 4.0];[0, 0];;;;;;[f];[f];[n, w];[h, d];[u, a]
;Spiny Puffball;p;[2.0, 6.0];;;;[f];;;;[3.0, 7.0];[0, 0];;;;;;[f];[f];[n];[l, d];[u, a]
;Stump Puffball;e;[1.0, 4.0];;;;[f];;;;[1.0, 6.0];[0, 0];;;;;;[f];[f];[n, w];[l, d];[u, a]
;Membranous Puffball;e;[2.0, 5.0];;;;[f];;;;[2.0, 4.0];[0, 0];;;;;;[f];[f];[n, w];[h];[u, a]
;Rolling Puffball;e;[2.0, 4.0];;;;[f];;;;[0, 0];[0, 0];;;;;;[f];[f];[n, e];[g];[u, a]
;Common Earthball;p;[3.0, 10.0];;;;[f];;;;[0, 0];[0, 0];;;;;;[f];[f];[n, y, n, u, w, k];;[u, a]
;Smooth Earthball;p;[3.0, 5.0];;;;[f];;;;[6.0, 7.0];[0, 0];;;;;;[f];[f];[n, w];[h, d];[u, a]
;Stinkhorn;e;[3.0, 5.0];;;;[f];;;;[10.0, 20.0];[2.0, 3.0];;[t, w];[w];;;[t];[f];;[d];[u, a]
;Dog Stinkhorn;p;[2.0, 3.0];;;;[f];;;;[4.0, 8.0];[1.0, 0];;[t];[w, o];;;[f];[f];[o];[d];[u, a]
;Collared Earthstar;p;[4.0, 7.0];;;;[f];;;;[0, 0];[0, 0];;;;;;[t];[f];;;[u, a]
;Bird’s Nest Fungus;p;[1.0, 0];;;;[f];;;;[0, 0];[0, 0];;;;;;[f];[f];[w];;[u, a]
;Orange Peel Fungus;e;[2.0, 8.0];;;;[f];;;;[0, 0];[0, 0];;;;;;[t];[f];;[d];[a, w]
;Lemon Peel Fungus;e;[2.0, 5.0];;;;[f];;;;[4.0, 10.0];[0, 0];;;;;;[f];[f];;;[u, a]
;Pig’s Ears;p;[3.0, 8.0];;;;[f];;;;[0, 0];[0, 0];;;;;;[t];[f];;[p];[u, a]
;Large Cup Fungus;p;[3.0, 12.0];;;;[f];;;;[0, 0];[0, 0];;;;;;[t];[f];;;[u, a]
;Straw Cup Fungus;p;[3.0, 8.0];;;;[f];;;;[0, 0];[0, 0];;;;;;[t];[f];;;
;Eyelash Fungus;p;[0, 0];;;;[f];;;;[0, 0];[0, 0];;;;;;[f];[f];;[d];[s, a]
;White Saddle;p;[2.0, 6.0];;;;[f];;;;[4.0, 7.0];[2.0, 4.0];;[g];[w];;;[t];[f];;[l, p, d];[u, a]
;Elfin’s Saddle;p;[2.0, 4.0];[x];;[k];[f];;;;[2.0, 5.0];[1.0, 2.0];;;;;;[f];[f];;[l];[u, a]
;Turban Fungus;p;[5.0, 15.0];;;[n, e];[f];;;;[2.0, 5.0];[2.0, 3.0];;[g];[n];;;[f];[f];;[d];[s, u]
;Common Morel;e;[3.0, 8.0];[p, c];;;[f];;;;[3.0, 8.0];[0, 0];;[g];;;;[f];[f];;[l, d];
;Jelly Babies;p;[1.0, 2.0];[x, f, s];[s];[y];[f];;;;[5.0, 4.0];[7.0, 0];;;[r, y];;;[f];[f];;[l];[u, a]
;Green Wood Cup;p;[0, 0];;;;[f];;;;[0, 0];[0, 0];;;;;;[f];[f];;[l, d];[s, a]
;Black Bulgar;p;[1.0, 3.0];;;;[f];;;;[1.0, 0];[0, 0];;;;;;[f];[f];;;[a, w]
;Purple Jelly Fungus;p;[0, 0];;;;[f];;;;[0, 0];[0, 0];;;;;;[t];[f];;[l, d];[a, w]
;Shaggy Earth Tongue;p;[3.0, 8.0];;;;[f];;;;[0, 0];[0, 0];[c];[s];;;;[f];[f];;[g];[u, a]
;Scarlet Caterpillar Fungus;p;[2.0, 5.0];;;;[f];;;;[0, 0];[0, 0];;;;;;[f];[f];;[g, d];[u, a]
;Ergot;p;[5.0, 20.0];;;;[f];;;;[2.0, 4.0];[0, 0];;;;;;[t];[f];;[g];[u, a]
;Summer Truffle;e;[3.0, 7.0];;;;[f];;;;[0, 0];[0, 0];;;;;;[f];[f];;[l];[u, a]
;False Truffle;p;[2.0, 4.0];;;;[f];;;;[0, 0];[0, 0];;;;;;[f];[f];[n, u, e];[d];
;Candle Snuff Fungus;p;[3.0, 5.0];;;;[f];;;;[2.0, 5.0];[0, 0];;;;;;[t];[f];;[l, d];
;Dead Man’s Fingers;p;[3.0, 7.0];;;;[f];;;;[1.0, 3.0];[0, 0];;;;;;[t];[f];;;[s, u]
;King Alfred’s Cakes;p;[2.0, 7.0];;;;[f];;;;[0, 0];[0, 0];;;;;;[f];[f];;[l, d];[u, a]
;Beech Bark Spot;p;[2.0, 3.0];;;;[f];;;;[0, 0];[0, 0];;;;;;[f];[f];;[l];
;Coral Spot;p;[0, 0];;;;[f];;;;[0, 0];[0, 0];;;;;;[f];[f];;[l, d];
